dataset,priority_group,policy,period_sec,records,spectrum_unstable_records,spectrum_unstable_pct,median_psa_retention,p05_psa_retention,p01_psa_retention,median_window_duration_sec
InstanceGM,m4plus_strong_motion,arias_1_99_padded,1.0,300,1,0.33333333333333337,0.9999999976803999,0.9999904130183296,0.999928668608503,93.72999999999999
InstanceGM,m4plus_strong_motion,arias_1_99_padded,3.0,300,6,2.0,0.9999792400028338,0.9965511280616247,0.9145359377474022,93.72999999999999
InstanceGM,m4plus_strong_motion,feature_onset_fixed,0.2,300,82,27.333333333333332,0.9999999999999998,0.33122825512302134,0.0006551281365109338,42.0
InstanceGM,m4plus_strong_motion,feature_onset_fixed,1.0,300,143,47.66666666666667,0.998689329279812,0.1575128525568582,0.00993140532729402,42.0
InstanceGM,m4plus_strong_motion,feature_onset_fixed,3.0,300,174,57.99999999999999,0.8096615123114714,0.13444238714511747,0.00758085150940699,42.0
InstanceGM,m4plus_strong_motion,shortest_stable_no_catalog,0.2,300,0,0.0,1.0,0.9999999675484921,0.9999850564442134,49.025000000000006
InstanceGM,m4plus_strong_motion,shortest_stable_no_catalog,1.0,300,18,6.0,0.9999999468473104,0.9268482934034279,0.7505367664679008,49.025000000000006
InstanceGM,m4plus_strong_motion,shortest_stable_no_catalog,3.0,300,67,22.333333333333332,0.9995628162218438,0.6779966666280273,0.4650743171684616,49.025000000000006
K-NET,low_magnitude_background,arias_1_99_padded,0.2,21,0,0.0,1.0,1.0,0.9999999999999997,44.82
K-NET,low_magnitude_background,arias_1_99_padded,1.0,21,3,14.285714285714285,1.0,0.6828321935277014,0.6241397922651452,44.82
K-NET,low_magnitude_background,arias_1_99_padded,3.0,21,14,66.66666666666666,0.5002046686300705,0.123966145062539,0.08365653064933061,44.82
K-NET,low_magnitude_background,feature_onset_fixed,0.2,21,0,0.0,0.9999999233219928,0.9999707485959305,0.9999474894974811,42.0
K-NET,low_magnitude_background,feature_onset_fixed,1.0,21,3,14.285714285714285,0.9986879450135718,0.6766504321747261,0.6233864109731894,42.0
K-NET,low_magnitude_background,feature_onset_fixed,3.0,21,18,85.71428571428571,0.4371644578282997,0.09919506973681382,0.07492595355461291,42.0
K-NET,low_magnitude_background,shortest_stable_no_catalog,0.2,21,0,0.0,0.9999999233219928,0.9999707485959305,0.9999474894974811,11.9
K-NET,low_magnitude_background,shortest_stable_no_catalog,1.0,21,4,19.047619047619047,0.9986879450135718,0.6766504321747261,0.6233864109731894,11.9
K-NET,low_magnitude_background,shortest_stable_no_catalog,3.0,21,18,85.71428571428571,0.4371644578282997,0.12340797389426725,0.0797685343861036,11.9
K-NET,m3_to_m4_small_event,arias_1_99_padded,0.2,300,0,0.0,1.0,1.0,0.9999999999999963,49.44
K-NET,m3_to_m4_small_event,arias_1_99_padded,1.0,300,15,5.0,1.0,0.9848728684931132,0.41836370749074103,49.44
